date,full_model_valid,coverage_score,lsi,lsi_raw,lsi_smoothed,lsi_base,m4_multiplier,status,status_raw,target_stress,lsi_baseline_expected,contribution_M1,contribution_M2,contribution_M3,contribution_M4,contribution_M5,active_market_modules_count,crisis_window
2017-01-20,0,0.6667000000000001,,44.095824559688644,42.69339752321252,38.344195269294474,1.15,partial,yellow,41.06179819238067,54.70194798001061,-4.359040920003373,-20.762991349769507,-0.986587826362833,5.75162929039417,15.502496675813726,1,normal_or_unknown
2017-01-21,0,0.6667000000000001,,44.095824559688644,42.88745640172058,38.344195269294474,1.15,partial,yellow,41.06179819238067,54.70194798001061,-4.359040920003373,-20.762991349769507,-0.986587826362833,5.75162929039417,15.502496675813726,1,normal_or_unknown
2017-01-22,0,0.6667000000000001,,44.095824559688644,43.05466265449601,38.344195269294474,1.15,partial,yellow,41.06179819238067,54.70194798001061,-4.359040920003373,-20.762991349769507,-0.986587826362833,5.75162929039417,15.502496675813726,1,normal_or_unknown
2017-01-23,0,0.6667000000000001,,42.94344925456314,43.039273655920894,37.34212978657665,1.15,partial,yellow,44.47304263630752,54.70194798001061,-4.980960631480293,-20.847502042091982,-1.3672480109817267,5.601319467986492,15.43721195910652,1,normal_or_unknown
2017-01-24,0,0.6667000000000001,,42.94344925456314,43.02601408848706,37.34212978657665,1.15,partial,yellow,48.91332518300871,54.70194798001061,-4.980960631480293,-20.847502042091982,-1.3672480109817267,5.601319467986492,15.43721195910652,1,normal_or_unknown
2017-01-25,0,0.6667000000000001,,46.35562798612811,43.486744751855205,40.30924172706793,1.15,partial,yellow,48.91332518300871,54.70194798001061,-1.8117314964322389,-20.52145895691205,-1.289207775830757,6.046386259060185,15.276078235292543,1,normal_or_unknown
2017-01-26,0,0.6667000000000001,,47.26143713664525,44.00906252800551,41.096901857952396,1.15,partial,yellow,48.91332518300871,54.70194798001061,-0.7267568000018517,-20.10454925075163,-0.8615715543272952,6.164535278692853,14.252366761715425,1,normal_or_unknown
2017-01-27,0,0.6667000000000001,,46.824974204634024,44.39871036545547,40.71736887359481,1.15,partial,yellow,47.35200398051658,54.70194798001061,-1.9580972432692043,-20.098718354356787,-0.8754201352294189,6.107605331039217,15.05526195747883,1,normal_or_unknown
2017-01-28,0,0.6667000000000001,,46.824974204634024,44.73444122870146,40.71736887359481,1.15,partial,yellow,47.195871860267374,54.70194798001061,-1.9580972432692043,-20.098718354356787,-0.8754201352294189,6.107605331039217,15.05526195747883,1,normal_or_unknown
2017-01-29,0,0.6667000000000001,,47.451628037763314,45.11042815076507,39.543023364802764,1.2,partial,yellow,46.74435464765491,57.080293544358895,-3.3308809807668247,-21.018764634067846,-1.002160617856081,7.90860467296055,15.723140726095155,1,normal_or_unknown
2017-01-30,1,1.0,45.29492133510084,46.44372571358342,45.29492133510084,38.703104761319516,1.2,yellow,yellow,45.166154297027724,57.080293544358895,-4.0838739438419065,-21.485555114023885,-0.8812447369783041,7.740620952263903,15.814105964068618,2,normal_or_unknown
2017-01-31,1,1.0,44.5154944474438,39.662149731913054,44.5154944474438,37.77347593515529,1.05,yellow,green,44.229361575532465,49.945256851314035,-4.305587140770995,-18.87570841480083,-0.9354732176986092,1.8886737967577645,13.833661653869441,2,normal_or_unknown
2017-02-01,1,1.0,39.82672745786224,10.630656791573102,39.82672745786224,10.630656791573102,1.0,yellow,green,8.118870252959024,47.56691128696575,-4.10840035823875,-21.129991338874277,-4.234175975193915,0.0,-7.463686823085668,1,normal_or_unknown
2017-02-02,1,1.0,35.55158480401425,8.931075124698324,35.55158480401425,8.931075124698324,1.0,yellow,green,4.683963607476374,47.56691128696575,-6.026015286324009,-21.05212377672705,-3.936083589936654,0.0,-7.6216135092796815,1,normal_or_unknown
2017-02-03,1,1.0,31.75855762680405,8.140090394149532,31.75855762680405,8.140090394149532,1.0,green,green,0.0,47.56691128696575,-6.652804507776816,-21.175586282778887,-3.9240549247461667,0.0,-7.674375177514321,1,normal_or_unknown
2017-02-04,1,1.0,28.490385276986174,8.140090394149532,28.490385276986174,8.140090394149532,1.0,green,green,0.0,47.56691128696575,-6.652804507776816,-21.175586282778887,-3.9240549247461667,0.0,-7.674375177514321,1,normal_or_unknown
2017-02-05,1,1.0,25.674441702342445,8.140090394149532,25.674441702342445,8.140090394149532,1.0,green,green,0.0,47.56691128696575,-6.652804507776816,-21.175586282778887,-3.9240549247461667,0.0,-7.674375177514321,1,normal_or_unknown
2017-02-06,1,1.0,23.425845240248254,9.424257753997715,23.425845240248254,9.424257753997715,1.0,green,green,16.99595470184995,47.56691128696575,-5.969493961546559,-21.15772366658359,-3.624445558311402,0.0,-7.390990346526452,1,normal_or_unknown
2017-02-07,1,1.0,21.367785943172308,8.552637566988004,21.367785943172308,8.552637566988004,1.0,green,green,17.20199491982964,47.56691128696575,-6.464938121565372,-21.168362985583606,-3.7210932006807242,0.0,-7.659879412148013,1,normal_or_unknown
2017-02-08,1,1.0,20.466443730845885,14.853955205810408,20.466443730845885,14.853955205810408,1.0,green,green,18.763316122321783,47.56691128696575,-3.60266811261677,-20.430484193803835,-1.3175591579666188,0.0,-7.36224461676813,1,normal_or_unknown
2017-02-09,1,1.0,19.774951327383693,15.469158115320916,19.774951327383693,15.469158115320916,1.0,green,green,18.763316122321783,47.56691128696575,-3.0974229452713167,-20.4023305598657,-1.2742015101764157,0.0,-7.32379815633143,1,normal_or_unknown
2017-02-10,1,1.0,19.60622158884991,18.555573224219515,19.60622158884991,16.13528106453871,1.15,green,green,18.763316122321783,54.70194798001061,-2.9413177003917053,-23.360075431307383,-1.4250740627368763,2.4202921596808054,-8.41990756135514,1,normal_or_unknown
2017-02-11,1,1.0,19.460839591752357,18.555573224219515,19.460839591752357,16.13528106453871,1.15,green,green,18.763316122321783,54.70194798001061,-2.9413177003917053,-23.360075431307383,-1.4250740627368763,2.4202921596808054,-8.41990756135514,1,normal_or_unknown
