Дата,Код выпуска,Тип бумаги,Дней до погашения,"Объем предложения, млн руб.","Цена отсечения, % от номинала","Цена средневзвешенная, % от номинала","Доходность по цене отсечения, % годовых","Доходность средневзвешенная, % годовых","Совокупный объем спроса по номиналу, млн руб.","Объем размещения по номиналу, млн руб.","Объем выручки, млн руб.",Коэффициент удовлетворения спроса,Cover ratio (спрос / размещение),Год источника,Формат
2017-04-12,29012RMFS,ОФЗ-ПК,2044,20000.0,102.75,102.85280000000002,10.33,10.31,19561.29,12223.111,13050.1010605,0.9780645,1.6003528070717838,2017,
2017-04-19,26221RMFS,ОФЗ-ПД,5817,20000.0,96.682,96.716,8.23,8.23,74029.558,19999.993,19608.99664685,3.7014779,3.701479195517719,2017,
2017-04-19,26216RMFS,ОФЗ-ПД,756,19516.917,96.966,96.9823,8.49,8.48,62036.396,19516.914,19479.692345019997,3.1785960866667624,3.1785965752577483,2017,
2017-04-26,26220RMFS,ОФЗ-ПД,2051,25000.0,98.6227,98.7881,7.85,7.82,46698.623,24999.999,25122.77797079,1.86794492,1.8679449947177995,2017,
2017-04-26,26221RMFS,ОФЗ-ПД,5810,20000.0,97.783,97.8193,8.1,8.1,54379.743,19999.993,19859.25879926,2.71898715,2.7189881016458357,2017,
2017-05-03,26219RMFS,ОФЗ-ПД,3423,20000.0,101.381,101.4332,7.68,7.670000000000001,36374.571,19999.997,20435.233361240003,1.81872855,1.8187288228093237,2017,
2017-05-03,26222RMFS,ОФЗ-ПД,2723,25000.0,97.041,97.2555,7.77,7.73,61253.879,24999.996,24313.87601466,2.45015516,2.450155552024889,2017,
2017-05-17,26220RMFS,ОФЗ-ПД,2030,25000.0,98.9801,99.1505,7.77,7.73,24724.539,20765.338,21030.82538233,0.98898156,1.1906639323665236,2017,
2017-05-17,26221RMFS,ОФЗ-ПД,5789,25000.0,98.5011,98.8427,8.02,7.98,33433.269,24999.995,25190.669500670003,1.33733076,1.3373310274662056,2017,
2017-05-24,26219RMFS,ОФЗ-ПД,3402,25000.0,101.1,101.3054,7.720000000000001,7.69,33372.729,21470.687,22006.259632970003,1.33490916,1.5543391322317723,2017,
2017-05-24,24019RMFS,ОФЗ-ПК,875,20000.0,102.3,102.3737,9.46,9.43,12796.381,7495.355,7747.69797724,0.63981905,1.7072414848929771,2017,
2017-05-31,26220RMFS,ОФЗ-ПД,2016,20000.0,98.222,98.3704,7.95,7.920000000000001,30826.417,16380.001,16508.154427629997,1.54132085,1.8819545249112013,2017,
2017-05-31,29012RMFS,ОФЗ-ПК,1995,20000.0,103.0,103.0641,9.83,9.82,25229.324,15882.295,16400.388175559998,1.2614662,1.5885187877444664,2017,
2017-06-07,26222RMFS,ОФЗ-ПД,2688,20000.0,96.5707,96.6372,7.870000000000001,7.85,47230.047,19999.999,19463.63150682,2.36150235,2.3615024680751233,2017,
2017-06-07,26221RMFS,ОФЗ-ПД,5768,15000.0,98.612,98.6729,8.0,8.0,34938.524,14999.996,15155.38358857,2.3292349333333333,2.3292355544628145,2017,
2017-06-14,26220RMFS,ОФЗ-ПД,2002,25000.0,98.621,98.8639,7.86,7.8,38131.514,25000.0,24715.9801765,1.5252605600000002,1.5252605600000002,2017,
2017-06-14,26219RMFS,ОФЗ-ПД,3381,15000.0,100.46,100.5748,7.82,7.81,27175.928,14999.998,15331.4744531,1.8117285333333333,1.81172877489717,2017,
2017-06-21,26222RMFS,ОФЗ-ПД,2674,15000.0,95.5112,95.5857,8.07,8.06,36086.184,14999.999,14480.79763462,2.4057456,2.4057457603830508,2017,
2017-06-21,29012RMFS,ОФЗ-ПК,1974,15000.0,103.19,103.2221,9.78,9.77,38290.996,14999.996,15602.11563944,2.5527330666666668,2.552733747395666,2017,
2017-06-28,26221RMFS,ОФЗ-ПД,5747,25000.0,97.8,97.9208,8.1,8.09,40319.973,24999.997,25181.7022346,1.61279892,1.6127991135358937,2017,
2017-06-28,24019RMFS,ОФЗ-ПК,840,10000.0,102.27,102.3103,9.43,9.41,16710.587,5719.953,5965.64005997,1.6710587,2.92145529867116,2017,
2017-07-05,26219RMFS,ОФЗ-ПД,3360,15000.0,99.27,99.434,8.01,7.99,19098.03,13320.0,13521.80335,1.273202,1.433786036036036,2017,
2017-07-05,26220RMFS,ОФЗ-ПД,1981,20000.0,97.7222,97.8222,8.08,8.06,33528.868,20000.0,19649.63009418,1.6764434,1.6764434,2017,
2017-07-12,26222RMFS,ОФЗ-ПД,2653,20000.0,95.25,95.3414,8.129999999999999,8.110000000000001,33579.027,19999.998,19340.68694776,1.6789513500000002,1.678951517895152,2017,
2017-07-12,29012RMFS,ОФЗ-ПК,1953,10000.0,103.225,103.2723,9.76,9.75,26405.444,9999.997,10465.72542027,2.6405444,2.640545192163558,2017,
2017-07-19,26220RMFS,ОФЗ-ПД,1967,23778.856,98.05,98.102,8.0,7.99,58680.397,23778.854,23496.35488688,2.467755261228715,2.4677554687875203,2017,
2017-07-19,26221RMFS,ОФЗ-ПД,5726,15000.0,97.7625,97.9681,8.1,8.08,19384.038,15000.0,15182.55803324,1.2922692,1.2922692,2017,
2017-07-26,26214RMFS,ОФЗ-ПД,1036,15000.0,96.02,96.0769,8.15,8.12,40379.035,14999.998,14558.83296146,2.6919356666666667,2.6919360255914704,2017,
2017-07-26,29012RMFS,ОФЗ-ПК,1939,15000.0,103.2812,103.3597,9.74,9.72,28816.952,14999.997,15771.10339587,1.9211301333333335,1.921130517559437,2017,
2017-08-02,26219RMFS,ОФЗ-ПД,3332,20000.0,99.501,99.6049,7.98,7.960000000000001,34553.679,19999.999,20455.97854231,1.72768395,1.7276840363842016,2017,
2017-08-02,26220RMFS,ОФЗ-ПД,1953,15000.0,97.6915,97.7189,8.09,8.09,38038.004,15000.0,14806.78148364,2.5358669333333332,2.5358669333333332,2017,
2017-08-09,26222RMFS,ОФЗ-ПД,2625,25000.0,95.95,96.0242,8.0,7.98,40991.292,24999.997,24482.53893932,1.63965168,1.639651876758225,2017,
2017-08-09,26221RMFS,ОФЗ-ПД,5705,15000.0,98.31,98.4094,8.04,8.03,29767.359,14999.996,15315.21146272,1.9844906,1.9844911291976344,2017,
