type,term_days,date,time,volume_mln,rate_wavg,settlement,volume_bln
Репо,1,2010-06-10,15:30,22.7,5.03,S0,0.022699999999999998
Репо,4,2010-06-11,11:30,5671.1,5.03,S0,5.6711
Репо,4,2010-06-11,16:00,0.0,0.0,S0,0.0
Репо,91,2010-06-11,13:30,2100.0,6.5,S2,2.1
Репо,1,2010-06-15,11:30,7554.8,5.07,S0,7.5548
Репо,7,2010-06-15,13:45,2280.8,5.28,S1,2.2808
Репо,1,2010-06-15,15:30,438.3,5.05,S0,0.4383
Репо,1,2010-06-16,11:30,2468.5,5.1,S0,2.4685
Репо,1,2010-06-16,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-17,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-17,11:30,3018.1,5.09,S0,3.0181
Репо,3,2010-06-18,11:30,1279.0,5.07,S0,1.279
Репо,3,2010-06-18,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-21,11:30,1023.8,5.07,S0,1.0238
Репо,91,2010-06-21,13:30,0.0,0.0,S2,0.0
Репо,1,2010-06-21,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-22,11:30,264.7,5.07,S0,0.2647
Репо,7,2010-06-22,13:45,1085.4,5.04,S1,1.0854000000000001
Репо,1,2010-06-22,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-23,11:30,725.1,5.08,S0,0.7251000000000001
Репо,1,2010-06-23,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-24,11:30,369.4,5.07,S0,0.36939999999999995
Репо,1,2010-06-24,16:00,0.0,0.0,S0,0.0
Репо,3,2010-06-25,11:30,413.1,5.1,S0,0.4131
Репо,3,2010-06-25,16:00,0.0,0.0,S0,0.0
Репо,1,2010-06-28,11:30,364.5,5.12,S0,0.3645
Репо,91,2010-06-28,13:30,0.0,0.0,S2,0.0
Репо,1,2010-06-28,15:30,2939.5,5.19,S0,2.9395
Репо,1,2010-06-29,16:00,9.1,5.0,S0,0.0091
Репо,7,2010-06-29,13:45,6773.9,5.11,S1,6.773899999999999
Репо,1,2010-06-29,11:30,4810.0,5.16,S0,4.81
Репо,1,2010-06-30,11:30,2686.5,5.09,S0,2.6865
Репо,1,2010-06-30,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-01,11:30,2288.6,5.09,S0,2.2885999999999997
Репо,3,2010-07-02,11:30,893.7,5.07,S0,0.8937
Репо,3,2010-07-02,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-05,11:30,893.8,5.07,S0,0.8937999999999999
Репо,91,2010-07-05,13:30,0.0,0.0,S2,0.0
Репо,1,2010-07-05,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-06,11:30,949.9,5.07,S0,0.9499
Репо,7,2010-07-06,13:45,2278.7,5.11,S1,2.2786999999999997
Репо,1,2010-07-06,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-07,11:30,881.5,5.07,S0,0.8815
Репо,1,2010-07-07,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-08,11:30,2073.5,5.08,S0,2.0735
